Date,Close,EMA_1,EMA_2,EMA_3,EMA_4,EMA_5,EMA_6,EMA_7,EMA_8,EMA_9,EMA_10,EMA_11,EMA_12,EMA_13,EMA_14,EMA_15,EMA_16,EMA_17,EMA_18,EMA_19,EMA_20,EMA_21,EMA_22,EMA_23,EMA_24,EMA_25,EMA_26,EMA_27,EMA_28,EMA_29,EMA_30
2022-07-07,21637.587891,21637.587891,21224.787289181888,20955.106177222893,20765.48507295372,20633.95182080067,20545.187301793274,20488.616325773426,20457.547660113545,20447.782017553232,20456.466852472695,20481.406286856978,20520.721176146642,20572.71139929742,20635.81458785513,20708.601792443664,20789.781749805625,20878.2026561643,20972.848648199495,21072.831591147933,21177.379785285713,21285.825191416698,21397.59041575287,21512.176284029316,21629.15048704894,21748.137522974084,21868.809988765515,21990.88116647743,22114.09879120032,22238.239860799964,22363.10634148015
2022-07-08,21731.117188,21731.117188,21562.34055506063,21343.111682611445,21151.737918972234,20999.673609867114,20884.024412138053,20799.24154133007,20740.563110754978,20704.449051642587,20688.221458932203,20689.69143704748,20706.935947201004,20738.197940540646,20781.854934541112,20836.416216888207,20900.52709547555,20972.970937479375,21052.666389231126,21138.66015083314,21230.116680782314,21326.30628201518,21426.592743774363,21530.421359360203,21637.307823125026,21746.828266437617,21858.610522042145,21972.326596586186,22087.686266841676,22204.4316826133,22322.33284770724
2022-07-09,21592.207031,21592.207031,21582.25153902021,21467.65935680572,21327.92556378334,21197.184750244745,21086.362303241465,20997.482913747554,20929.817315253873,20882.000647514073,20852.58247203544,20840.110702706235,20843.131498554696,20860.1992391777,20889.90188073563,20930.89006865218,20981.90120553725,21041.774947870555,21109.46014099627,21184.014838849827,21264.60147604114,21350.479077377437,21440.99398614181,21535.570165330184,21633.699759755025,21734.93432525011,21838.876930113096,21945.175199044315,22053.51528505949,22163.616705839082,22275.227956306775
2022-07-10,20860.449219,20860.449219,21101.04999234007,21164.054287902858,21140.935025870003,21084.939573163163,21021.815707743903,20963.224490060664,20914.402182753012,20877.69036181126,20854.012789665358,20843.500455421865,20845.795763238588,20860.234950580885,20885.97485917088,20922.084962445657,20967.61273653287,21021.627644662716,21083.248464996665,21151.658276864844,21226.110784894365,21305.93090843403,21390.511832477307,21479.310086469333,21571.839716494625,21667.666240153947,21766.400803363977,21867.694771898292,21971.234866710558,22076.738873383143,22183.951908738596
2022-07-11,19970.556641,19970.556641,20347.387758113357,20567.305464451427,20672.783671922003,20713.478595775443,20721.455974388504,20715.0575277955,20704.65872903012,20696.26361764901,20693.38439899893,20698.00981968489,20711.143590586496,20733.13804921219,20763.919096748097,20803.14392226495,20850.312019411354,20904.84197758908,20966.12300983912,21033.54811327836,21106.53419976157,21184.53324775821,21267.03746800102,21353.580632680223,21443.737070455056,21537.119347911335,21633.375309855535,21732.184905405556,21833.257058040865,21936.3267245576,22041.152214045786
2022-07-12,19323.914063,19323.914063,19665.07196137112,19945.60976372571,20133.2358283532,20250.29041818363,20322.15828542036,20367.271661596624,20397.82658102343,20421.793706719207,20444.38979245367,20468.99386023741,20497.723663265497,20531.820336896162,20571.918425581684,20618.24018985683,20670.73578924531,20729.183320412514,20793.258910171844,20862.584708250524,20936.760853403324,21015.386049143824,21098.07021539224,21184.441751873535,21274.151229858653,21366.872787533543,21462.304106384756,21560.165559519446,21660.19892045184,21762.16588045376,21865.84652688154
2022-07-13,20212.074219,20212.074219,20029.740133123705,20078.841991362853,20164.77118461192,20237.55168512242,20290.70569501454,20328.47230094747,20356.548278351554,20379.849809175364,20402.150597280273,20426.173920031175,20453.77759491696,20486.142320053856,20523.93919803746,20567.46944349973,20616.775604510567,20671.7267535889,20732.081574259017,20797.533659325472,20867.743078698244,20942.35770094893,21021.027085271176,21103.411124134072,21189.185068989962,21278.04212841558,21369.694485096996,21463.873320910916,21560.328251386196,21658.82643635684,21759.15153927628
2022-07-14,20569.919922,20569.919922,20389.859992374568,20324.380956681427,20326.830679567152,20348.34109741495,20370.48118843896,20388.834206210602,20403.96419916232,20417.863831740295,20432.65411086568,20450.13158702598,20471.645645237426,20498.110548903307,20530.069961232468,20567.775753312264,20611.26317127403,20660.414883412355,20715.011926652805,20774.772285592928,20839.37896853651,20908.49972104448,20981.80037542151,21058.953523956232,21139.643857230767,21223.571189460534,21310.45192486759,21400.019506702993,21492.024228669907,21586.232668733053,21682.426918806847
2022-07-15,20836.328125,20836.328125,20687.505414124855,20580.354540840715,20530.62965774029,20511.0034399433,20503.580313170685,20500.707685907953,20500.045071570694,20501.556690392237,20506.049386162827,20514.497676688316,20527.750642123974,20546.42734548855,20570.90438306814,20601.34479977323,20637.74140112414,20679.960799144315,20727.782052794617,20780.927869533636,20839.088412009223,20901.93866685862,20969.150614515293,21040.401407376547,21115.378598652307,21193.78326142511,21275.331643395915,21359.75583658135,21446.803807727156,21536.239032484184,21627.839899851566
2022-07-16,21190.316406,21190.316406,21022.712742041622,20885.33547342036,20794.504357044174,20737.441095295533,20699.790625407633,20673.109865930965,20653.438701443873,20639.308633513792,20630.461571587766,20627.1341315736,20629.68383656644,20638.41149699019,20653.49265279239,20674.966250551577,20702.750225227184,20736.666977683835,20776.469879447814,20821.866723180272,20872.5386971512,20928.15482496238,20988.382422470484,21052.8943239285,21121.373623240124,21193.516580238564,21269.034218403627,21347.653020111255,21429.115021401143,21513.177524051905,21599.612577667594
